"filename", "language", "YAML", "HTML", "Dart", "Markdown", "JSON", "C++", "Swift", "XML", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"c:\Boxs\Tmp\pcl\snns_cm\lib\comm\comm.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 82
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\app\app_component.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 61
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\home\home_component.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 59
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\home\login_screen.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 81, 10, 194
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\MonitorCluster.dart", "Dart", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 179
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\MonitorPC.dart", "Dart", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 168
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\NodeList.dart", "Dart", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 228
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskDetails.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 42, 6, 81
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskList.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 120
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskReplay.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 120
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\UserList.dart", "Dart", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 131
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\bottombar.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\gc_drawer.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
