"filename", "language", "HTML", "YAML", "Markdown", "Swift", "JSON", "Dart", "C++", "XML", "Groovy", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskReplayHT.dart", "Dart", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 6, 10, 124
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskReplaySC.dart", "Dart", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 6, 10, 124
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TimeListApply.dart", "Dart", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 19, 19, 234
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TimeListSeting.dart", "Dart", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 22, 23, 283
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\UserList.dart", "Dart", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 20, 15, 200
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\bottombar.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\gc_drawer.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\menu.dart", "Dart", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 10, 10, 181
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\topbar.dart", "Dart", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 4, 9, 195
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\application.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\route_handlers.dart", "Dart", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 17, 83
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\routes.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 4, 47
"c:\Boxs\Tmp\pcl\snns_cm\lib\dbutils\db_helper.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 75, 16, 93
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\constants.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\helpers.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 5, 51
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\math_functions.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\editable.dart", "Dart", 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 0, 144, 54, 460
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\widgets\table_body.dart", "Dart", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 6, 5, 119
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\widgets\table_header.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 3, 57
"c:\Boxs\Tmp\pcl\snns_cm\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 11, 7, 38
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\MonitorData.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\Node.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 12, 60
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\Task.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 7, 35
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\TimeList.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 12, 77
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\User.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Boxs\Tmp\pcl\snns_cm\lib\restutils\rest_helper.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Boxs\Tmp\pcl\snns_cm\lib\services\api_Monitor.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 15, 11, 50
"c:\Boxs\Tmp\pcl\snns_cm\lib\services\api_Node.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 25, 12, 91
"c:\Boxs\Tmp\pcl\snns_cm\lib\services\api_Task.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 5, 51
"c:\Boxs\Tmp\pcl\snns_cm\lib\services\api_TimeList.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 23, 11, 114
"c:\Boxs\Tmp\pcl\snns_cm\lib\services\api_User.dart", "Dart", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 38, 12, 117
"c:\Boxs\Tmp\pcl\snns_cm\lib\widget\center_screen.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Boxs\Tmp\pcl\snns_cm\lib\widget\expansion_title.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Boxs\Tmp\pcl\snns_cm\pubspec.yaml", "YAML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 14, 103
"c:\Boxs\Tmp\pcl\snns_cm\web\index.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 8, 62
"c:\Boxs\Tmp\pcl\snns_cm\web\manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 351, 37, 20, 12, 168, 3606, 1, 125, 81, 8, 4, 867, 559, 5839
