"filename", "language", "HTML", "YAML", "Dart", "C++", "Markdown", "JSON", "Swift", "Groovy", "XML", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Boxs\Tmp\pcl\snns_cm\lib\comm\comm.dart", "Dart", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 80
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\app\app_component.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 28
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\home\home_component.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 60
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\MonitorCluster.dart", "Dart", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 179
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\MonitorPC.dart", "Dart", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 168
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\NodeList.dart", "Dart", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 228
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskDetails.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 42, 6, 81
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskList.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 120
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskReplay.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 120
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\UserList.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 120
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\bottombar.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\gc_drawer.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\menu.dart", "Dart", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 161
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\topbar.dart", "Dart", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 147
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\application.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\route_handlers.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 67
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\routes.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 43
"c:\Boxs\Tmp\pcl\snns_cm\lib\dbutils\db_helper.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 75, 16, 93
